id,timestamp,current_demand,current_demand_max,next_hour_demand_forecast,next_hour_demand_forecast_max,current_reserve,current_reserve_max,peak_demand_forecast,peak_reserve_forecast
341529c6-7dc9-4fa2-bb34-7587a68753ef,2025-04-05T17:26:31.46764+00:00,1530,3500,1463,3500,1307,1000,2225,399
8009f06e-9443-4dda-87bb-b38b5e6d76e2,2025-04-05T18:03:08.513923+00:00,1569,3500,1463,3500,1260,1000,2225,401
6c8cf946-c380-464b-aad8-c4fcf3bee07e,2025-04-05T18:25:47.055017+00:00,1620,3500,1549,3500,1216,1000,2225,401
a48675a4-0315-46c8-982f-491919523e4d,2025-04-05T18:44:54.943247+00:00,1623,3500,1549,3500,1181,1000,2225,396
b4d87562-5da4-4c88-876a-d70023b3c644,2025-04-05T19:06:22.879987+00:00,1693,3500,1695,3500,1130,1000,2225,395
78757e2a-b059-46b9-b2cc-03cb3393c31c,2025-04-05T19:19:18.90563+00:00,1693,3500,1695,3500,1130,1000,2225,395
84f027a1-c9c4-4195-8bec-8e5c10d9fe26,2025-04-05T19:24:58.781218+00:00,1706,3500,1695,3500,1103,1000,2225,399
83a2d0e9-5782-4f12-b959-bfb8b8d53e0e,2025-04-05T19:30:47.138543+00:00,1706,3500,1695,3500,1103,1000,2225,399
dc9767e6-f7c1-4a8f-8ed3-3763cd49c042,2025-04-05T19:37:38.514341+00:00,1725,3500,1695,3500,1068,1000,2225,397
90186588-ac88-447c-8f8c-9a6d5a927cd9,2025-04-05T19:43:02.037328+00:00,1725,3500,1695,3500,1068,1000,2225,397
cca175c9-79fa-40c0-ab44-53ff0cc2bfe8,2025-04-05T19:48:47.314011+00:00,1725,3500,1695,3500,1068,1000,2225,397
7851352d-597c-466a-b42f-05b4074243d5,2025-04-05T19:54:10.182898+00:00,1776,3500,1695,3500,1015,1000,2225,398
878939b8-6c2a-4bbd-aa0e-e9b561c389a1,2025-04-05T19:59:33.530564+00:00,1776,3500,1695,3500,1015,1000,2225,398
1e1c041e-83f5-4abd-b469-2b6e4d06ca19,2025-04-05T20:17:14.217116+00:00,1882,3500,1878,3500,894,1000,2225,398
cf9e2d67-8c65-4810-a006-c6b9faa19a4b,2025-04-05T20:29:39.613274+00:00,1915,3500,1878,3500,862,1000,2225,396
64effa46-561b-42c2-9478-508807db1dbc,2025-04-05T20:37:09.116345+00:00,1915,3500,1878,3500,862,1000,2225,396
1da9cb1f-e7cf-4670-9cac-e9c7eaba0b44,2025-04-05T20:42:44.381429+00:00,1954,3500,1878,3500,800,1000,2225,398
6e53e5aa-cd9a-43e4-91c0-66f01f1854a7,2025-04-05T20:48:33.165522+00:00,1954,3500,1878,3500,800,1000,2225,398
55bdc35e-8c03-497b-bc81-6e6e0daf9dbe,2025-04-05T20:54:17.307139+00:00,1987,3500,1878,3500,760,1000,2225,399
9ae6f39d-503f-437b-a9c9-a663b9bb9e36,2025-04-05T20:59:46.2289+00:00,1987,3500,1878,3500,760,1000,2225,399
2dbc950c-6f23-4355-bb39-e01313d7d840,2025-04-05T21:16:02.383934+00:00,2065,3500,2039,3500,648,1000,2225,397
72a608c9-cd0b-481b-8519-0870141bef9f,2025-04-05T21:27:24.879162+00:00,2079,3500,2039,3500,619,1000,2225,398
a86d7275-c95b-4d74-bb78-02d654d07cab,2025-04-05T21:33:52.537168+00:00,2079,3500,2039,3500,619,1000,2225,398
6c48865f-ca6a-45ad-b8be-05c4def386ce,2025-04-05T21:39:31.654261+00:00,2079,3500,2039,3500,619,1000,2225,398
c08eebad-3619-488f-805c-24ddda720a04,2025-04-05T21:45:16.101926+00:00,2112,3500,2039,3500,560,1000,2225,388
81a3af16-0eda-4126-ae5d-2b8c028ecd7d,2025-04-05T21:51:08.913756+00:00,2112,3500,2039,3500,560,1000,2225,388
cf17f875-e00e-45cd-8c82-8b05f99e7410,2025-04-05T21:56:36.459668+00:00,2120,3500,2039,3500,634,1000,2225,388
fd52f83e-6165-4a38-bc6f-6e5b30e26e35,2025-04-05T22:09:50.938381+00:00,2120,3500,2039,3500,634,1000,2225,388
c1e72de4-b4e8-480a-8ef5-54cfe1e7cac0,2025-04-05T22:28:56.362817+00:00,2156,3500,2116,3500,508,1000,2225,390
